nchung,nói chung
đell,đéo
vailol,vãi lồn
xợ,sợ
duma,đù má
dkm,địt con mẹ
đkm,địt con mẹ
cđm,cái địt mẹ
fwb,bạn chịch
ciu,cu
vcđ,vãi cả đái
vcd,vãi cả đái
dcsvn,Đảng Cộng sản Việt Nam
hl,hãm lồn
clm,cái lồn mẹ
xhcn,xã hội chủ nghĩa
lz,lồn
lone,lồn
clipp,clip
cmm,con mẹ mày
đhs,đéo hiểu sao
vailon,vãi lồn
nồ,lồn
nma,nhưng mà
clg,cái lồn gì
douma,đụ má
đmm,địt mẹ mày
bome,bỏ mẹ
mxh,mạng xã hội
moẹ,mẹ
tró,chó
cdm,cái địt mẹ
đcs,Đảng Cộng sản
vjp,vip
đũy,đĩ
vlin,vãi lồn
zú,vú
dmm,địt mẹ mày
đuma,đụ má
adu,á đù
đỹ,đĩ
ctay,chia tay
mịe,mẹ
đitme,địt mẹ
cđg,cái địt mẹ
adidaphat,a di đà phật
vnch,Việt Nam cộng hòa
vck,vãi cả cứt
vloz,vãi lồn
búm,bướm
mọe,mẹ
xaolon,xạo lồn
dume,đụ mẹ
móa,má
mợt,mệt
vcd,vãi cả đái
đmmm,địt mẹ mày
pím,bướm
rach,rách
ṽ,vãi
chxhcn,Cộng hòa Xã hội Chủ nghĩa
đuỹ,đĩ
lồz,lồn
zợ,sợ
cặt,cặc
dú,vú
đme,địt mẹ
xamf,xàm
nunglon,nứng lồn
ｔổｎｇ,tổng
ｈợｐ,hợp
ｃáｃ,các
ｃｌｉｐ,clip
ｔâｙ,tây
đｉ,đi
ｃｈơｉ,chơi
ｐｈò,phò
ｖｎ,việt nam
ｅｍ,em
ｃｌｉｃｋ,click
ｘｅｍ,xem
ｎｈａ,nha
dcs,Đảng Cộng sản
dịt,địt
dcmm,địt con mẹ mày
đit,địt
dizz,địt
lồl,lồn
móe,má
acclone,acc lồn
nulo,nứng lồn
concho,con chó
đbrr,đầu buồi rẻ rách
kảm,cảm
ᴍᴜᴀ,mua
ʙáɴ,bán
lozz,lồn
ᴇм,em
dmca,địt mẹ công an
ịa,ỉa
chos,chó
ᴛươɴɢ,tương
ᴛáᴄ,tác
ᴛốᴛ,tốt
vlon,vãi lồn
zl,vãi lồn
cđmm,cái địt mẹ mày
ịt,địt
đjtme,địt mẹ
đuýt,đít
dâmm,dâm
jách,rách
đjtconme,địt con mẹ
ċhö,chó
lozzzz,lồn
đel,đéo
clmn,cái lồn mẹ n
ᴍɪễɴ,miễn
ᴘʜí,phí
ngyeu,người yêu
lôz,lồn
vllllll,vãi lồn
ᴄʜᴏ,cho
ʙé,bé
ʏêᴜ,yêu
nồn,lồn
đume,đụ mẹ
lôl,lồn
cặ,cặc
cằc,cặc
clgv,cái lồn gì vậy
bòi,buồi
ᐯiᗪeo,video
ᗰới,mới
ᑎoᑎ,non
ᐯào,vào
ᴛʜấʏ,thấy
ɴàʏ,này
ᴛʜᴀᴍ,tham
ɢɪᴀ,gia
nứg,nứng
ᑕᒪiᑭ,clip
ᖴᑌᒪᒪ,full
hamlone,hãm lồn
ditconme,địt con mẹ
vïdëö,video
ċhăn,chăn
räü,rau
ċựċ,cực
nướċ,nước
ċần,cần
cdcm,cái địt con mẹ
khõe,khoiẽ
ᑎᕼà,nhà
ᑎgᕼỉ,nghỉ
tʜái,thái
ƌộ,độ
gӓy,gây
ᴛrαnh,tranh
cӓi,cãi
vl0,vãi lồn
ditme,địt mẹ
máaaaaa,má
đelll,đéo
dếu,vú
xaoloz,xạo lồn
cdmm,cái địt mẹ mày
khovilol,khổ vì lồn
nhulonn,như lồn
clgt,cái lồn gì thế
đizzz,địt
xamlin,xàm lồn
chungtôiđồnglòngtẩychayninhduonglanngoc,chúng tôi đồng lòng tẩy chay Ninh Dương Lan Ngọc
tẩychayninhduonglanngoc,tẩy chay Ninh Dương Lan Ngọc
xamlol,xàm lồn
ditmecuocdoi,địt mẹ cuộc đời
änh,anh
müốn,muốn
độnġ,động
ċủä,của
khônġ,không
ċämërä,camera
ċặp,cặp
ċhồnġ,chồng
ċlïp,clip
áï,ai
xëm,xem
nónġ,nóng
nhä,nha
samloz,xàm lồn
vãiiii,vãi
ᴛổɴɢ,tổng
ʜợᴘ,hợp
ʟɪɴᴋ,link
cáingu,cái ngu
đụma,đụ má
lồnnnn,lồn
ṭậƿ,tập
ṭһể,thể
єṃ,em
ɢáı,gái
ṭяȏṅɢ,trong
ṅһà,nhà
ṅɢһỉ,nghỉ
đél,đéo
vl😑,vãi lồn
vlol,vãi lồn
nunglonmongmanh,nứng lồn mong mang
